shape,rid,role,text,name,note,processor_flagged
"X6 abbreviated alt (ends ׳)","E00776","alt","הֶיפְתֵּי׳","הַפְתֵּקָא","","false"
"X6 abbreviated alt (ends ׳)","E00838","alt","הִירְ׳","הִרְהוּר","","false"
"X6 abbreviated alt (ends ׳)","E00840","alt","הִירְ׳","הִרְהֵר","","false"
"X6 abbreviated alt (ends ׳)","E00847","alt","הַרְזְבָנִ׳","הַרְזְבוֹנִית","","false"
"X6 abbreviated alt (ends ׳)","E00867","alt","הָרִי׳","הֲרִיפוֹת","","false"
"X6 abbreviated alt (ends ׳)","E00911","alt","הֵישָׁ׳","הֵשָׁבוֹן","","false"
"X6 abbreviated alt (ends ׳)","E00941","alt","הִשְׁתַּחֲוָו׳","הִשְׁתַּחֲוָאָה","","false"
"X6 abbreviated alt (ends ׳)","F00044","alt","וָהוֹנַ׳","וַיָּנַיָּא","","false"
"X6 abbreviated alt (ends ׳)","F00066","alt","וֶו׳","וֶסֶת","","false"
"X6 abbreviated alt (ends ׳)","F00071","alt","וַו׳","וַעַד","","false"
"X6 abbreviated alt (ends ׳)","F00087","alt","וַו׳","וַרְדִּימוֹס","","false"
"X6 abbreviated alt (ends ׳)","F00097","alt","וֶו׳","וֶשְׁטָא","","false"
"X6 abbreviated alt (ends ׳)","F00106","alt","וְתוּ׳","וְתִינְיָא","","false"
"X6 abbreviated alt (ends ׳)","F00107","alt","וְתוּ׳","וְתִינְיָיקִי","","false"
"X6 abbreviated alt (ends ׳)","G00110","alt","זִיהֲ׳","זַהֲרוּרָא","","false"
"X6 abbreviated alt (ends ׳)","G00267","alt","זִבּ׳","זִיבּוּנָא","","false"
"X6 abbreviated alt (ends ׳)","G00269","alt","זִבּ׳","זִיבּוּרִית","","false"
"X6 abbreviated alt (ends ׳)","G00296","alt","זִהֲ׳","זִיהֲרוֹרָא","","false"
"X6 abbreviated alt (ends ׳)","G00312","alt","זִיּיוּ׳","זִיּוּנָא I","","false"
"X6 abbreviated alt (ends ׳)","G00356","alt","זִלּ׳","זִילּוּף","","false"
"X6 abbreviated alt (ends ׳)","G00369","alt","זִמְ׳","זִימְיוֹנָא","","false"
"X6 abbreviated alt (ends ׳)","G00379","alt","זַיְי׳","זֵין II","","false"
"X6 abbreviated alt (ends ׳)","G00379","alt","זְיָי׳","זֵין II","","false"
"X6 abbreviated alt (ends ׳)","G00381","alt","זִנְ׳","זִינְגָּאֵי","","false"
"X6 abbreviated alt (ends ׳)","G00383","alt","זנו׳","זינומתא","","false"
"X6 abbreviated alt (ends ׳)","G00391","alt","זֵי׳","זִיעֲתָא","","false"
"X6 abbreviated alt (ends ׳)","G00396","alt","זֵי׳","זַיְפָא","","false"
"X6 abbreviated alt (ends ׳)","G00538","alt","זִי׳","זְמַן II","","false"
"X6 abbreviated alt (ends ׳)","G00549","alt","זִימְ׳","זִמְרָא","","false"
"X6 abbreviated alt (ends ׳)","G00550","alt","זִי׳","זִמְרָא²","","false"
"X6 abbreviated alt (ends ׳)","G00554","alt","זִימְ׳","זִמְרָה","","false"
"X6 abbreviated alt (ends ׳)","G00581","alt","זַנָּיָי׳","זַנְיְתָא","","false"
"X6 abbreviated alt (ends ׳)","G00589","alt","זִיעֲ׳","זִעֲזֵע","","false"
"X6 abbreviated alt (ends ׳)","G00618","alt","זוּפְ׳","זְפִירִין","","false"
"X6 abbreviated alt (ends ׳)","G00619","alt","זִיפְ׳","זִפְלָן","","false"
"X6 abbreviated alt (ends ׳)","G00657","alt","זִיקְ׳","זקַת","","false"
"X6 abbreviated alt (ends ׳)","G00679","alt","זֵיר׳","זֵרוּעַ","","false"
"X6 abbreviated alt (ends ׳)","G00733","alt","זִירְ׳","זִרְפָּא","","false"
"X6 abbreviated alt (ends ׳)","H00028","alt","חִבּוּ׳","חֲבוּלְיָא","","false"
"X6 abbreviated alt (ends ׳)","H00028","alt","חִיבּ׳","חֲבוּלְיָא","","false"
"X6 abbreviated alt (ends ׳)","H00051","alt","חֲ׳","חָבִיב","","false"
"X6 abbreviated alt (ends ׳)","H00051","alt","חַבִּ׳","חָבִיב","","false"
"X6 abbreviated alt (ends ׳)","H00077","alt","חַבִּ׳","חֲבִירָא","","false"
"X6 abbreviated alt (ends ׳)","H00089","alt","חֵיבְ׳","חֶבְלָא","","false"
"X6 abbreviated alt (ends ׳)","H00121","alt","חֲבֵי׳","חֲבֵרוּת","","false"
"X6 abbreviated alt (ends ׳)","H00166","alt","חִיגַּ׳","*חִגַּרְתָּא","","false"
"X6 abbreviated alt (ends ׳)","H00178","alt","חֵי׳","חֵדוּ","","false"
"X6 abbreviated alt (ends ׳)","H00179","alt","חִדְ׳","חֶדְוָא","","false"
"X6 abbreviated alt (ends ׳)","H00191","alt","חָדְ׳","חַדְיָא","","false"
"X6 abbreviated alt (ends ׳)","H00208","alt","חִידְ׳","חִדְקָא","","false"
"X6 abbreviated alt (ends ׳)","H00209","alt","חִי׳","חִדְקָא²","","false"
"X6 abbreviated alt (ends ׳)","H00260","alt","חוֹ׳","חוּדַאי","","false"
"X6 abbreviated alt (ends ׳)","H00310","alt","חֵיְ׳","חִוֵּי","","false"
"X6 abbreviated alt (ends ׳)","H00317","alt","חָכְ׳","חוּכְמָא","","false"
"X6 abbreviated alt (ends ׳)","H00341","alt","חַלְחוּלְ׳","חוּלְחוּלְתָּא","","false"
"X6 abbreviated alt (ends ׳)","H00345","alt","חוֹ׳","חוּלֵי","","false"
"X6 abbreviated alt (ends ׳)","H00347","alt","חוּלְיָי׳","חוּלְיָא I","","false"
"X6 abbreviated alt (ends ׳)","H00367","alt","חִי׳","חוּלְתָּא","","false"
"X6 abbreviated alt (ends ׳)","H00405","alt","חוּנְיָי׳","חוּנְיָא","","false"
"X6 abbreviated alt (ends ׳)","H00475","alt","חֲרָ׳","חוֹרָן","","false"
"X6 abbreviated alt (ends ׳)","H00510","alt","חֶזְוַ׳","חֶזְוָיָא","","false"
"X6 abbreviated alt (ends ׳)","H00510","alt","חָזְוַ׳","חֶזְוָיָא","","false"
"X6 abbreviated alt (ends ׳)","H00514","alt","חֵיזְוָ׳","חֶזְוָנָא","","false"
"X6 abbreviated alt (ends ׳)","H00514","alt","חֶזְוָו׳","חֶזְוָנָא","","false"
"X6 abbreviated alt (ends ׳)","H00514","alt","חִזְ׳","חֶזְוָנָא","","false"
"X6 abbreviated alt (ends ׳)","H00517","alt","חֵי׳","חַזּוּר","","false"
"X6 abbreviated alt (ends ׳)","H00552","alt","חֲזָ׳","חַזָּנָא","","false"
"X6 abbreviated alt (ends ׳)","H00585","alt","חַטָּ׳","חֲטָאָה","","false"
"X6 abbreviated alt (ends ׳)","H00586","alt","חַטְ׳","חֶטְאָה","","false"
"X6 abbreviated alt (ends ׳)","H00621","alt","חַ׳","חָטְיָא","","false"
"X6 abbreviated alt (ends ׳)","H00643","alt","חֲטִיפִי׳","חַטְפִיתָא","","false"
"X6 abbreviated alt (ends ׳)","H00645","alt","חֻטְ׳","חֹטֶר","","false"
"X6 abbreviated alt (ends ׳)","H00653","alt","חִבּ׳","חִיבּוּבָא","","false"
"X6 abbreviated alt (ends ׳)","H00654","alt","חִבּ׳","חִיבּוּט","","false"
"X6 abbreviated alt (ends ׳)","H00655","alt","חִבּ׳","חִיבּוּל","","false"
"X6 abbreviated alt (ends ׳)","H00659","alt","חִבּ׳","חִיבּוּרָא","","false"
"X6 abbreviated alt (ends ׳)","H00660","alt","חִבְּ׳","חִיבְּתָא","","false"
"X6 abbreviated alt (ends ׳)","H00665","alt","חִדּ׳","חִידּוּק","","false"
"X6 abbreviated alt (ends ׳)","H00665","alt","הִ׳","חִידּוּק","","false"
"X6 abbreviated alt (ends ׳)","H00666","alt","חִדּ׳","חִידּוּשׁ","","false"
"X6 abbreviated alt (ends ׳)","H00669","alt","חוּדְ׳","חִידְקִי","","false"
"X6 abbreviated alt (ends ׳)","H00677","alt","חִיּי׳","חִיּוּב²","","false"
"X6 abbreviated alt (ends ׳)","H00692","alt","חֵיוְו׳","חֵיוְתָא","","false"
"X6 abbreviated alt (ends ׳)","H00695","alt","חִזּ׳","חִיזּוּק","","false"
"X6 abbreviated alt (ends ׳)","H00701","alt","חִזְ׳","חִיזְרָא","","false"
"X6 abbreviated alt (ends ׳)","H00702","alt","חִזְ׳","חִיזְרָא²","","false"
"X6 abbreviated alt (ends ׳)","H00705","alt","חוּזְ׳","חִיזְרָר","","false"
"X6 abbreviated alt (ends ׳)","H00706","alt","חִטּ׳","חִיטָּא","","false"
"X6 abbreviated alt (ends ׳)","H00754","alt","חִכּ׳","חִיכּוּכָא","","false"
"X6 abbreviated alt (ends ׳)","H00764","alt","חִלּ׳","חִילּוּי","","false"
"X6 abbreviated alt (ends ׳)","H00765","alt","חִלּ׳","חִילּוּל","","false"
"X6 abbreviated alt (ends ׳)","H00767","alt","חִלּ׳","חִילּוֹנִי","","false"
"X6 abbreviated alt (ends ׳)","H00769","alt","חִלּ׳","חִילּוּף","","false"
"X6 abbreviated alt (ends ׳)","H00770","alt","חִלּ׳","חִילּוּפָא","","false"
"X6 abbreviated alt (ends ׳)","H00772","alt","חִלּ׳","חִילּוּק","","false"
"X6 abbreviated alt (ends ׳)","H00781","alt","חִלְ׳","חִילְפָא I","","false"
"X6 abbreviated alt (ends ׳)","H00796","alt","חִלְתִּ׳","חִילְתִּית","","false"
"X6 abbreviated alt (ends ׳)","H00797","alt","חִלְ׳","חִילְתִּיתָא","","false"
"X6 abbreviated alt (ends ׳)","H00803","alt","חִמּ׳","חִימּוּץ","","false"
"X6 abbreviated alt (ends ׳)","H00804","alt","חִמּ׳","חִימּוּצָא","","false"
"X6 abbreviated alt (ends ׳)","H00810","alt","חֵימְ׳","חֵימָרָא","","false"
"X6 abbreviated alt (ends ׳)","H00810","alt","חִמָ׳","חֵימָרָא","","false"
"X6 abbreviated alt (ends ׳)","H00811","alt","חוּ׳","חֵימְתָא","","false"
"X6 abbreviated alt (ends ׳)","H00815","alt","חִנְ׳","חִינְגָּא","","false"
"X6 abbreviated alt (ends ׳)","H00816","alt","חִנְ׳","חִינְגִּיתָא","","false"
"X6 abbreviated alt (ends ׳)","H00817","alt","חִנְ׳","חִינְגָּנָא","","false"
"X6 abbreviated alt (ends ׳)","H00819","alt","חִנּ׳","חִינּוּךְ","","false"
"X6 abbreviated alt (ends ׳)","H00820","alt","חִנּ׳","חִינּוּכָא","","false"
"X6 abbreviated alt (ends ׳)","H00821","alt","חִנּ׳","חִינּוּן","","false"
"X6 abbreviated alt (ends ׳)","H00827","alt","חֲיָי׳","חֲיָס","","false"
"X6 abbreviated alt (ends ׳)","H00830","alt","חִסּ׳","חִיסּוּדָא","","false"
"X6 abbreviated alt (ends ׳)","H00831","alt","חִסּ׳","חִיסּוּלָא","","false"
"X6 abbreviated alt (ends ׳)","H00833","alt","חִסּ׳","חִיסּוּם","","false"
"X6 abbreviated alt (ends ׳)","H00834","alt","חִסּ׳","חִיסּוּר","","false"
"X6 abbreviated alt (ends ׳)","H00836","alt","חִסָּ׳","חִיסָּכוֹן","","false"
"X6 abbreviated alt (ends ׳)","H00853","alt","חִפּ׳","חִיפּוּשִׂיתָא","","false"
"X6 abbreviated alt (ends ׳)","H00875","alt","חֵר׳","חֵירוּפָא","","false"
"X6 abbreviated alt (ends ׳)","H00900","alt","חִתּ׳","חִיתּוּךְ","","false"
"X6 abbreviated alt (ends ׳)","H00902","alt","חִתּ׳","חִיתּוּם","","false"
"X6 abbreviated alt (ends ׳)","H00906","alt","חִתִּ׳","חִיתִּית","","false"
"X6 abbreviated alt (ends ׳)","H00967","alt","חֶלְ׳","חֲלָב","","false"
"X6 abbreviated alt (ends ׳)","H00978","alt","חַלְבֵּי׳","חַלְבֵּצִין","","false"
"X6 abbreviated alt (ends ׳)","H00992","alt","הִי׳","חֲלוּז","","false"
"X6 abbreviated alt (ends ׳)","H01013","alt","חִילָּ׳","חִלָּזוֹן","","false"
"X6 abbreviated alt (ends ׳)","H01013","alt","חֲלָ׳","חִלָּזוֹן","","false"
"X6 abbreviated alt (ends ׳)","H01025","alt","חוּלְ׳","חַלְטָנִית","","false"
"X6 abbreviated alt (ends ׳)","H01034","alt","חִילִּ׳","חִלִּיז","","false"
"X6 abbreviated alt (ends ׳)","H01038","alt","חֲלוּ׳","חֲלִיטָא III","","false"
"X6 abbreviated alt (ends ׳)","H01086","alt","חִילְ׳","חֶלְמָא","","false"
"X6 abbreviated alt (ends ׳)","H01091","alt","הֶלְ׳","חֶלְמוֹן","","false"
"X6 abbreviated alt (ends ׳)","H01117","alt","חֶילְ׳","חֶלְקָא","","false"
"X6 abbreviated alt (ends ׳)","H01149","alt","חֶמְדְּ׳","חֶמְדָּתָא","","false"
"X6 abbreviated alt (ends ׳)","H01151","alt","חֵי׳","חֵמָה","","false"
"X6 abbreviated alt (ends ׳)","H01261","alt","חֲנֻכְּ׳","חֲנוּכְּתָא","","false"
"X6 abbreviated alt (ends ׳)","H01269","alt","חֲנֻפְ׳","חֲנוּפְתָּא","","false"
"X6 abbreviated alt (ends ׳)","H01277","alt","חִינְ׳","חִנְטָא","","false"
"X6 abbreviated alt (ends ׳)","H01295","alt","חֲנִסְנְ׳","חֲנִיסְנְסַיָּא","","false"
"X6 abbreviated alt (ends ׳)","H01338","alt","חִיסְ׳","חֶסֶד²","","false"
"X6 abbreviated alt (ends ׳)","H01339","alt","חִי׳","חִסְדָּא","","false"
"X6 abbreviated alt (ends ׳)","H01340","alt","חִי׳","חִסְדָּא²","","false"
"X6 abbreviated alt (ends ׳)","H01378","alt","חֲ׳","חָסִילָא","","false"
"X6 abbreviated alt (ends ׳)","H01389","alt","חֲסֵירוּ׳","חַסִּירוּתָא","","false"
"X6 abbreviated alt (ends ׳)","H01389","alt","חַסְרוּ׳","חַסִּירוּתָא","","false"
"X6 abbreviated alt (ends ׳)","H01406","alt","חִ׳","חֲסַף II","","false"
"X6 abbreviated alt (ends ׳)","H01407","alt","חִ׳","חַסְפָּא","","false"
"X6 abbreviated alt (ends ׳)","H01412","alt","חֲסֵי׳","חָסֵר II","","false"
"X6 abbreviated alt (ends ׳)","H01415","alt","חִי׳","חֶסְרוֹן","","false"
"X6 abbreviated alt (ends ׳)","H01424","alt","חִי׳","חִפּוּי","","false"
"X6 abbreviated alt (ends ׳)","H01425","alt","חִי׳","חִפּוּיָא","","false"
"X6 abbreviated alt (ends ׳)","H01432","alt","חֲפִי׳","חֲפוּרָה²","","false"
"X6 abbreviated alt (ends ׳)","H01486","alt","חֵי׳","חֵפְתָא","","false"
"X6 abbreviated alt (ends ׳)","H01579","alt","חֲרֵי׳","חָרֵב II","","false"
"X6 abbreviated alt (ends ׳)","H01593","alt","חִירְ׳","חִרְגָּא","","false"
"X6 abbreviated alt (ends ׳)","H01654","alt","חִרְ׳","חַרְחוּר","","false"
"X6 abbreviated alt (ends ׳)","H01681","alt","חִירְ׳","חֶרְיָנָא","","false"
"X6 abbreviated alt (ends ׳)","H01762","alt","חִירְ׳","חִרְקָא","","false"
"X6 abbreviated alt (ends ׳)","H01789","alt","חֲרָ׳","חַרְשִׁין","","false"
"X6 abbreviated alt (ends ׳)","H01808","alt","חֲשָׁ׳","חַשָּׁבָא","","false"
"X6 abbreviated alt (ends ׳)","I00031","alt","טַבְוָו׳","טַבְוָאוּת","","false"
"X6 abbreviated alt (ends ׳)","I00081","alt","טִיבְ׳","טְבַע II","","false"
"X6 abbreviated alt (ends ׳)","I00083","alt","טִי׳","טִבְעוֹן","","false"
"X6 abbreviated alt (ends ׳)","I00088","alt","טִיבַ׳","טְבַרְיָא","","false"
"X6 abbreviated alt (ends ׳)","I00089","alt","טְבִירְ׳","טְבִרְיוֹס","","false"
"X6 abbreviated alt (ends ׳)","I00129","alt","טַּוְזִ׳","*טַוְוזִיג","","false"
"X6 abbreviated alt (ends ׳)","I00156","alt","טַוְו׳","טָוִי","","false"
"X6 abbreviated alt (ends ׳)","I00207","alt","טוּ׳","טוֹפָנָא","","false"
"X6 abbreviated alt (ends ׳)","I00222","alt","טַרְ׳","טוּרְזַיָּנָא","","false"
"X6 abbreviated alt (ends ׳)","I00278","alt","טוֹטַ׳","טֹטַפְרָאוֹת","","false"
"X6 abbreviated alt (ends ׳)","I00300","alt","טִבּ׳","טִיבּוּל","","false"
"X6 abbreviated alt (ends ׳)","I00301","alt","טִבּ׳","טִיבּוּלָא","","false"
"X6 abbreviated alt (ends ׳)","I00318","alt","טִהֲ׳","טִיהֲרָא","","false"
"X6 abbreviated alt (ends ׳)","I00319","alt","טִהֲ׳","טִיהֲרֵי","","false"
"X6 abbreviated alt (ends ׳)","I00327","alt","טִחְ׳","טִיחְיָא","","false"
"X6 abbreviated alt (ends ׳)","I00361","alt","טְכְ׳","טִיכְסָא","","false"
"X6 abbreviated alt (ends ׳)","I00374","alt","טִמוּ׳","טִימוּרָא","","false"
"X6 abbreviated alt (ends ׳)","I00375","alt","טִמוּ׳","טִימוּרְתָּא","","false"
"X6 abbreviated alt (ends ׳)","I00391","alt","טנ׳","טינדיסין","","false"
"X6 abbreviated alt (ends ׳)","I00394","alt","טִנּ׳","טִינּוּף","","false"
"X6 abbreviated alt (ends ׳)","I00395","alt","טִנּ׳","טִינּוּפָא","","false"
"X6 abbreviated alt (ends ׳)","I00396","alt","טִנּ׳","טִינּוֹפֶת","","false"
"X6 abbreviated alt (ends ׳)","I00422","alt","טִפְ׳","טִיפְתָא","","false"
"X6 abbreviated alt (ends ׳)","I00423","alt","טִקּ׳","טִיקּוּסָא","","false"
"X6 abbreviated alt (ends ׳)","I00432","alt","טֵר׳","טֵירוּדִין","","false"
"X6 abbreviated alt (ends ׳)","I00438","alt","טִר׳","טִירוּנְיָא","","false"
"X6 abbreviated alt (ends ׳)","I00442","alt","טִרְ׳","טִירְיָא","","false"
"X6 abbreviated alt (ends ׳)","I00457","alt","טִשְׁ׳","טִישְׁטוּשָׁא","","false"
"X6 abbreviated alt (ends ׳)","I00480","alt","טְלוֹ׳","טְלוּמָא","","false"
"X6 abbreviated alt (ends ׳)","I00480","alt","טוּלְ׳","טְלוּמָא","","false"
"X6 abbreviated alt (ends ׳)","I00481","alt","טַלּוֹ׳","טָלוֹמָא","","false"
"X6 abbreviated alt (ends ׳)","I00483","alt","טְלָפְ׳","טְלוֹפְחָא","","false"
"X6 abbreviated alt (ends ׳)","I00486","alt","טִילְ׳","טִלְטוּל","","false"
"X6 abbreviated alt (ends ׳)","I00487","alt","טִילְ׳","טִלְטוּל²","","false"
"X6 abbreviated alt (ends ׳)","I00489","alt","טִילְ׳","טִלְטוּלַיָּא","","false"
"X6 abbreviated alt (ends ׳)","I00489","alt","טַלְ׳","טִלְטוּלַיָּא","","false"
"X6 abbreviated alt (ends ׳)","I00506","alt","טַלְיְי׳","טַלְיְתָא","","false"
"X6 abbreviated alt (ends ׳)","I00522","alt","טִילְ׳","טְלַף","","false"
"X6 abbreviated alt (ends ׳)","I00546","alt","טָמַ׳","טַמַּיָּא","","false"
"X6 abbreviated alt (ends ׳)","I00551","alt","טִימְיָ׳","טַמְיָקָא","","false"
"X6 abbreviated alt (ends ׳)","I00589","alt","טִיסְ׳","טִסְבְּרָא","","false"
"X6 abbreviated alt (ends ׳)","I00664","alt","טְפֵי׳","טְפֵלָא","","false"
"X6 abbreviated alt (ends ׳)","I00665","alt","טְפֵי׳","טְפֵלָה","","false"
"X6 abbreviated alt (ends ׳)","I00670","alt","טִפְ׳","טַפְסָא","","false"
"X6 abbreviated alt (ends ׳)","I00672","alt","טַ׳","טִפְסָר","","false"
"X6 abbreviated alt (ends ׳)","I00684","alt","טִיפּ׳","טִפֵּשׁ²","","false"
"X6 abbreviated alt (ends ׳)","I00685","alt","טִיפְּ׳","טִפְּשׁוּת","","false"
"X6 abbreviated alt (ends ׳)","I00686","alt","טִפְּ׳","טַפְּשׁוּתָא","","false"
"X6 abbreviated alt (ends ׳)","I00686","alt","טִיפְּ׳","טַפְּשׁוּתָא","","false"
"X6 abbreviated alt (ends ׳)","I00715","alt","טִירְ׳","טִרְדָּא","","false"
"X6 abbreviated alt (ends ׳)","I00740","alt","טרק׳","טְרוֹקְסִימָא","","false"
"X6 abbreviated alt (ends ׳)","I00740","alt","טרכ׳","טְרוֹקְסִימָא","","false"
"X6 abbreviated alt (ends ׳)","I00748","alt","טִירְ׳","טִרְחָא","","false"
"X6 abbreviated alt (ends ׳)","I00749","alt","טִירְ׳","טַרְחוּת","","false"
"X6 abbreviated alt (ends ׳)","I00750","alt","טוֹרְחוּ׳","טַרְחוּתָא","","false"
"X6 abbreviated alt (ends ׳)","I00756","alt","טַרְתֵּ׳","טַרְטֵימַר","","false"
"X6 abbreviated alt (ends ׳)","I00756","alt","תַּרְטֵ׳","טַרְטֵימַר","","false"
"X6 abbreviated alt (ends ׳)","I00768","alt","טַרְ׳","טִרְיָא","","false"
"X6 abbreviated alt (ends ׳)","I00788","alt","טוּרְ׳","טְרָיָיא","","false"
"X6 abbreviated alt (ends ׳)","I00792","alt","טוּרְ׳","טְרָיָינוֹס","","false"
"X6 abbreviated alt (ends ׳)","I00823","alt","טְרַקְ׳","טְרִיקְלִינָא","","false"
"X6 abbreviated alt (ends ׳)","I00884","alt","טרעפ׳","טַרְפְּעִיק","","false"
"X6 abbreviated alt (ends ׳)","I00904","alt","טְרִיקְ׳","טְרַקְסִין","","false"
"X6 abbreviated alt (ends ׳)","J00005","alt","יָי׳","יָאוּ","","false"
"X6 abbreviated alt (ends ׳)","J00061","alt","יָי׳","יָבָם²","","false"
"X6 abbreviated alt (ends ׳)","J00064","alt","יְבִמְ׳","יְבַמְתָּא","","false"
"X6 abbreviated alt (ends ׳)","J00064","alt","יְבִימְ׳","יְבַמְתָּא","","false"
"X6 abbreviated alt (ends ׳)","J00075","alt","יַבִּישְׁ׳","יַבַּשְׁתָּא","","false"
"X6 abbreviated alt (ends ׳)","J00075","alt","יַבִּשְׁ׳","יַבַּשְׁתָּא","","false"
"X6 abbreviated alt (ends ׳)","J00089","alt","יָי׳","יָגֵעַ","","false"
"X6 abbreviated alt (ends ׳)","J00172","alt","יָדְ׳","יוֹדְקֶרֶת","","false"
"X6 abbreviated alt (ends ׳)","J00201","alt","יְוָו׳","יְוָנָאָה","","false"
"X6 abbreviated alt (ends ׳)","J00206","alt","יְוָו׳","יְוָנִי","","false"
"X6 abbreviated alt (ends ׳)","J00231","alt","דְּיוֹ׳","יוֹקְיָנוֹס","","false"
"X6 abbreviated alt (ends ׳)","J00259","alt","יְזִיפְ׳","יְזוּפְתָּא","","false"
"X6 abbreviated alt (ends ׳)","J00271","alt","יִי׳","יִחוּד²","","false"
"X6 abbreviated alt (ends ׳)","J00272","alt","יִי׳","יִחוּל","","false"
"X6 abbreviated alt (ends ׳)","J00273","alt","יִי׳","יִחוּס","","false"
"X6 abbreviated alt (ends ׳)","J00274","alt","יֵי׳","יֵחוּס","","false"
"X6 abbreviated alt (ends ׳)","J00276","alt","יִי׳","יִחוּף","","false"
"X6 abbreviated alt (ends ׳)","J00285","alt","י׳","יָחִיד²","","false"
"X6 abbreviated alt (ends ׳)","J00290","alt","יְחֵיפ׳","יחֵיף","","false"
"X6 abbreviated alt (ends ׳)","J00309","alt","יַי׳","יַחַף","","false"
"X6 abbreviated alt (ends ׳)","J00382","alt","יְלֵיד׳","יָלֵידְתָּא","","false"
"X6 abbreviated alt (ends ׳)","J00411","alt","יֵי׳","*יֵמִים","","false"
"X6 abbreviated alt (ends ׳)","J00460","alt","יְסוּ׳","יִסּוּרָא","","false"
"X6 abbreviated alt (ends ׳)","J00460","alt","יִיסּוּ׳","יִסּוּרָא","","false"
"X6 abbreviated alt (ends ׳)","J00481","alt","בֵּיתי׳","יַעְזֵק","","false"
"X6 abbreviated alt (ends ׳)","J00546","alt","יוּצְ׳","יְצַף","","false"
"X6 abbreviated alt (ends ׳)","J00546","alt","יִיצְ׳","יְצַף","","false"
"X6 abbreviated alt (ends ׳)","J00568","alt","יְקֵדְ׳","יְקֵידָא","","false"
"X6 abbreviated alt (ends ׳)","J00570","alt","יְקִי׳","יְקֵידוּתָא","","false"
"X6 abbreviated alt (ends ׳)","J00604","alt","יָי׳","*יָרוֹד I","","false"
"X6 abbreviated alt (ends ׳)","J00729","alt","יְ׳","יָתֵיבְתָּא","","false"
"X6 abbreviated alt (ends ׳)","J00737","alt","יְתֵיר׳","יַתִּור I","","false"
"X6 abbreviated alt (ends ׳)","J00751","alt","יִי׳","יִתְרָא","","false"
"X6 abbreviated alt (ends ׳)","K00002","alt","כִּ־׳","כְּ־","","false"
"X6 abbreviated alt (ends ׳)","K00011","alt","לִכְאוֹ׳","כְּאוֹרָה","","false"
"X6 abbreviated alt (ends ׳)","K00078","alt","כּוּבְ׳","כַּבָּרִיתָא","","false"
"X6 abbreviated alt (ends ׳)","K00093","alt","כּוּבֶּ׳","כַּבֶּשֶׁת","","false"
"X6 abbreviated alt (ends ׳)","K00104","alt","כִּדְ׳","כַּדְבָא","","false"
"X6 abbreviated alt (ends ׳)","K00104","alt","כִּידְ׳","כַּדְבָא","","false"
"X6 abbreviated alt (ends ׳)","K00108","alt","כַּדְבוּ׳","כַּדָּבוּתָא","","false"
"X6 abbreviated alt (ends ׳)","K00108","alt","כַּדִּיבוּ׳","כַּדָּבוּתָא","","false"
"X6 abbreviated alt (ends ׳)","K00117","alt","כר׳","כדופסלא","","false"
"X6 abbreviated alt (ends ׳)","K00151","alt","כֵּו׳","כֵּהֶה","","false"
"X6 abbreviated alt (ends ׳)","K00151","alt","כֵּי׳","כֵּהֶה","","false"
"X6 abbreviated alt (ends ׳)","K00196","alt","כובד׳","כוברים","","false"
"X6 abbreviated alt (ends ׳)","K00250","alt","כֹּכ׳","כּוֹכָב²","","false"
"X6 abbreviated alt (ends ׳)","K00257","alt","קוֹכְ׳","כּוֹכְלִיאָס","","false"
"X6 abbreviated alt (ends ׳)","K00265","alt","כולכ׳","כולבסין","","false"
"X6 abbreviated alt (ends ׳)","K00270","alt","כּוּל׳","כּוֹלְיָא","","false"
"X6 abbreviated alt (ends ׳)","K00270","alt","כָּלְ׳","כּוֹלְיָא","","false"
"X6 abbreviated alt (ends ׳)","K00303","alt","כַּוָּו׳","כַּוָּנָה","","false"
"X6 abbreviated alt (ends ׳)","K00304","alt","כַּוּו׳","כַּוָּנוּתָא","","false"
"X6 abbreviated alt (ends ׳)","K00431","alt","כּוֹתַ׳","כּוֹתְנִיאָס","","false"
"X6 abbreviated alt (ends ׳)","K00451","alt","כּוֹ׳","כֹּחַ²","","false"
"X6 abbreviated alt (ends ׳)","K00530","alt","כִּלְ׳","כִּילְבִּית","","false"
"X6 abbreviated alt (ends ׳)","K00554","alt","כִּלְ׳","כִּילְכִּית","","false"
"X6 abbreviated alt (ends ׳)","K00567","alt","כִּנּ׳","כִּינּוּיָא","","false"
"X6 abbreviated alt (ends ׳)","K00568","alt","כִּנּ׳","כִּינּוּס","","false"
"X6 abbreviated alt (ends ׳)","K00580","alt","כּסּ׳","כִּיסּוּחַ","","false"
"X6 abbreviated alt (ends ׳)","K00581","alt","כִּסּ׳","כִּיסּוּי","","false"
"X6 abbreviated alt (ends ׳)","K00582","alt","כִּסּ׳","כִּיסּוּיָא","","false"
"X6 abbreviated alt (ends ׳)","K00583","alt","כִּסּ׳","כִּיסּוּפָא","","false"
"X6 abbreviated alt (ends ׳)","K00591","alt","כִּסְ׳","כִּיסְנִין","","false"
"X6 abbreviated alt (ends ׳)","K00591","alt","כִּיסָא׳","כִּיסְנִין","","false"
"X6 abbreviated alt (ends ׳)","K00591","alt","כְּסָא׳","כִּיסְנִין","","false"
"X6 abbreviated alt (ends ׳)","K00594","alt","כִּיסְּ׳","כִּיסְתָא II","","false"
